country,n,pearson_r_log10gdp_life,pearson_pvalue,spearman_r_gdp_life,spearman_pvalue
Slovenia,16,-0.2632930772704153,0.3244902820592663,0.28823529411764703,0.27898445973708325
Solomon Islands,16,0.06444211676846667,0.8125758227593503,0.2974966407508248,0.2631260471927147
Somalia,3,0.6028709982671141,0.588046714873808,1.0,0.0
South Africa,16,0.12164432375640591,0.653590200900535,0.4017661131838401,0.12294010274855478
South Sudan,8,-0.23797134507609252,0.5703630418873049,-0.6666666666666669,0.07098765432098751
Spain,16,-0.06502664468465028,0.810904277857333,0.0530192033021272,0.8453854450788838
Sri Lanka,16,0.4826386287577523,0.0582881362341669,0.37933837597300746,0.14731184768982739
Sudan,16,0.6879889749667,0.003219295558397704,0.8352941176470589,5.637132062814415e-05
Suriname,16,0.4561785132374201,0.07573107744118981,0.6176470588235293,0.010787984601948835
Swaziland,16,0.36416674197810084,0.16554080287618889,0.5529411764705882,0.026314499870666502
Sweden,16,0.12166879003410636,0.6535245910792764,0.03384842711805246,0.9009625881945321
Switzerland,16,-0.5214773890212692,0.03830105587870725,0.01689917499403514,0.9504694830557905
Syrian Arab Republic,8,-0.26673616499826724,0.5230855937477696,0.09523809523809526,0.8225054302036114
Tajikistan,16,0.29653268216753365,0.26475032630780476,0.3399559419247878,0.19764090965476153
Thailand,16,0.6404957239924047,0.007518054296991097,0.8617647058823529,1.7805184419815055e-05
Timor-Leste,16,0.4455107948407693,0.08373442726212957,0.6147058823529412,0.011279474063305006
Togo,16,0.5326269473738716,0.03365994352594989,0.8011790721210332,0.0001911615238752367
Tonga,16,0.15460504973264927,0.5675177525030299,0.3752760397871034,0.1520527602764196
Trinidad and Tobago,16,0.3981729227645745,0.12664255943132963,0.6126663492690254,0.011630508490235449
Tunisia,16,0.08226808175986658,0.7619719925421787,0.6411216846359069,0.00744112251435601
Turkey,16,0.42826283207982524,0.0979319045848194,0.488235294117647,0.05501502977813759
Turkmenistan,16,0.5438323366018643,0.02943827796136392,0.5048004847578543,0.046122462477145396
Uganda,16,0.5999002163993523,0.014027242800778881,0.888235294117647,4.3262508679755754e-06
Ukraine,16,0.2574720571040383,0.33569264106695207,0.27178996541970635,0.3085321284745924
United Arab Emirates,16,0.02842646642251602,0.9167706196162193,0.3323529411764706,0.2084998279822084
Uruguay,16,0.5177526056426482,0.03995418053161138,0.5964628035449323,0.014734278680879738
Uzbekistan,16,-0.1306906978809468,0.6294965909984501,0.014727556472813109,0.9568284446885975
Vanuatu,16,0.2990684471574371,0.2604906662270222,0.46799129667568184,0.06753149703161992
Zambia,16,0.26388308476568845,0.32336704645240905,0.43267119881336624,0.09415165852181158
Zimbabwe,16,-0.24801730610383307,0.354351641704681,-0.12941176470588234,0.63288233246826
